Target, LastValue, ForcastLower1, ForcastFit1, ForcastUpper1, ForcastLower5, ForcastFit5, ForcastUpper5, Diff1, Diff5, Day1Perc, Day5Perc
NCR , 28.209999 , 25.7218131520114 , 28.9511425041969 , 32.1804718563823 , 21.5262797062757 , 25.5337720418798 , 29.5412643774838 , 0.74114350419687 , -2.67622695812024 , 2.62723690347125 , -9.48680274012147
NEWR , 105.32 , 103.520814947119 , 108.673522127787 , 113.826229308455 , 92.5166138185268 , 98.910955269071 , 105.305296719615 , 3.35352212778731 , -6.40904473092898 , 3.18412659303771 , -6.08530642891092
NLSN , 22.360001 , 22.0245876052125 , 24.5613744222035 , 27.0981612391945 , 14.0298557597242 , 17.1779254105553 , 20.3259950613863 , 2.20137342220353 , -5.18207558944473 , 9.84514008833688 , -23.1756500791065
NOK , 5.4 , 4.10600695522896 , 5.7109647224377 , 7.31592248964644 , 3.12396110239077 , 5.11566131305663 , 7.10736152372249 , 0.310964722437698 , -0.284338686943369 , 5.75860597106849 , -5.26553123969201
RENN , 2.09 , -0.291314169509513 , 1.25433051312427 , 2.79997519575806 , -3.78148859933351 , -1.86339399091887 , 0.0547006174957647 , -0.835669486875728 , -3.95339399091887 , -39.9841859749152 , -189.157607220999
RHT , 145.440002 , 134.751350110151 , 140.751080745129 , 146.750811380107 , 113.359685072964 , 120.805154987357 , 128.25062490175 , -4.68892125487071 , -24.6348470126429 , -3.22395571396562 , -16.9381509033828
S , 5.49 , 4.27586549661417 , 5.26298061631706 , 6.25009573601995 , 3.75168832612941 , 4.97666597478302 , 6.20164362343663 , -0.227019383682939 , -0.51333402521698 , -4.13514360078213 , -9.35034654311439
SHOP , 160.149994 , 153.534252711792 , 166.990091105615 , 180.445929499438 , 129.764042771718 , 146.462299081772 , 163.160555391826 , 6.84009710561531 , -13.6876949182282 , 4.27105673548468 , -8.54679702218921
SNAP , 12.83 , 8.18884123065091 , 12.6408645615801 , 17.0928878925093 , 6.40152111177377 , 11.9263367718906 , 17.4511524320074 , -0.189135438419919 , -0.90366322810941 , -1.47416553717786 , -7.04336109204529
SPOT , 186.270004 , 172.044787063867 , 187.048194112182 , 202.051601160496 , 161.354766219653 , 179.973504724407 , 198.592243229161 , 0.778190112181619 , -6.29649927559342 , 0.417775323707847 , -3.38030769333822
ST , 53.759998 , 48.525424072561 , 51.7181900740956 , 54.9109560756302 , 47.3299853553639 , 51.2921037660699 , 55.2542221767758 , -2.04180792590438 , -2.46789423393014 , -3.79800595584914 , -4.59057724282307
T , 31.08 , 27.6352406127358 , 29.4627050966837 , 31.2901695806317 , 26.4677967045686 , 28.735620489112 , 31.0034442736553 , -1.61729490331627 , -2.34437951088804 , -5.20365155507166 , -7.54304861933089
TEF , 8.98 , 7.75772357425305 , 8.36566237705993 , 8.9736011798668 , 7.67376927014094 , 8.42820148409771 , 9.18263369805449 , -0.614337622940074 , -0.551798515902288 , -6.84117620200527 , -6.14474962029274
TEO , 19.99 , 19.1845100988603 , 21.3692060066258 , 23.5539019143912 , 18.341980525327 , 21.0531168484371 , 23.7642531715472 , 1.37920600662575 , 1.06311684843708 , 6.89947977301528 , 5.31824336386733
TWTR , 34.119999 , 34.2272533769396 , 39.5403933718395 , 44.8535333667395 , 27.108897301327 , 33.7023306385441 , 40.2957639757611 , 5.42039437183954 , -0.417668361455917 , 15.8862676749772 , -1.22411598387185
VMW , 148.800003 , 131.721195084504 , 141.275963043044 , 150.830731001583 , 123.920044409257 , 135.777199622122 , 147.634354834986 , -7.52403995695633 , -13.0228033778783 , -5.05647836375133 , -8.75188381406031
VZ , 52.009998 , 48.4517284825009 , 50.7185532641032 , 52.9853780457055 , 48.4707137777778 , 51.2837693530106 , 54.0968249282435 , -1.29144473589683 , -0.726228646989355 , -2.48307015104448 , -1.39632508155327
WUBA , 66.760002 , 58.8798762332444 , 66.3734709264469 , 73.8670656196494 , 58.2190749701847 , 67.5183814279819 , 76.817687885779 , -0.386531073553073 , 0.758379427981851 , -0.578986012542469 , 1.13597873766069
XRX , 25.59 , 22.2940039878608 , 24.7642705226317 , 27.2345370574026 , 20.1343581517584 , 23.1998783032704 , 26.2653984547824 , -0.825729477368309 , -2.39012169672959 , -3.2267662265272 , -9.34006133931063
YELP , 38 , 31.1690902960064 , 38.022483677026 , 44.8758770580455 , 27.1159492026416 , 35.6207867252462 , 44.1256242478509 , 0.0224836770259671 , -2.37921327475377 , 0.059167571120966 , -6.26108756514151
ZEN , 58.049999 , 55.0902091920941 , 58.4928065637119 , 61.8954039353297 , 49.6935955751839 , 53.9161078682323 , 58.1386201612806 , 0.442807563711916 , -4.13389113176773 , 0.762803740465037 , -7.12125960892391
AABA , 74.099998 , 69.7784500966752 , 73.1049191907801 , 76.4313882848849 , 66.6099435849117 , 70.7379831700433 , 74.8660227551749 , -0.995078809219933 , -3.36201482995671 , -1.34288641845838 , -4.53713214669278
ADBE , 254.809998 , 251.093815096933 , 257.182227031245 , 263.270638965558 , 240.494531094145 , 248.050051606862 , 255.605572119579 , 2.37222903124547 , -6.75994639313791 , 0.93097957296223 , -2.65293608814279
ADP , 137.410004 , 134.204903254635 , 137.871586397441 , 141.538269540247 , 130.278750543735 , 134.828984660283 , 139.379218776832 , 0.461582397441163 , -2.58101933971656 , 0.335916151666194 , -1.87833437492409
ADSK , 131.160004 , 123.938224679752 , 129.743434914962 , 135.548645150171 , 112.4943205431 , 119.698396989632 , 126.902473436164 , -1.41656908503842 , -11.4616070103677 , -1.08003129142815 , -8.73864490761051
AKAM , 79.639999 , 74.6911203444097 , 79.9516779964031 , 85.2122356483965 , 69.3968955313578 , 75.9250758970736 , 82.4532562627894 , 0.311678996403103 , -3.71492310292642 , 0.391359869810022 , -4.66464483874042
AMAT , 48.299999 , 43.5509108723872 , 46.0257040934508 , 48.5004973145143 , 42.4657419685125 , 45.5368795899834 , 48.6080172114543 , -2.27429490654923 , -2.76311941001664 , -4.70868520421549 , -5.72074423855918
AMD , 18.940001 , 15.4550446648762 , 16.6411558954791 , 17.8272671260821 , 15.02147575701 , 16.4934010849727 , 17.9653264129355 , -2.29884510452087 , -2.44659991502728 , -12.13751311059 , -12.9176335050208
ANSS , 174.160004 , 168.532065026091 , 174.114472607147 , 179.696880188204 , 156.8778617026 , 163.805447326582 , 170.733032950564 , -0.045531392852638 , -10.3545566734181 , -0.0261434266231631 , -5.94542744350082
ARRS , 25.190001 , 22.3996353299515 , 24.435248812939 , 26.4708622959264 , 19.714989893342 , 22.2411197926674 , 24.7672496919927 , -0.754752187061044 , -2.94888120733265 , -2.99623722548103 , -11.7065545465149
ATVI , 75.360001 , 74.1168057666311 , 76.5081415783122 , 78.8994773899934 , 66.12884603478 , 69.0964157348734 , 72.0639854349668 , 1.14814057831225 , -6.26358526512664 , 1.5235410868854 , -8.31155146232898
BIDU , 255.089996 , 226.937987028726 , 242.683086985177 , 258.428186941629 , 191.949672323147 , 211.488827521454 , 231.027982719761 , -12.4069090148227 , -43.6011684785463 , -4.86373797850649 , -17.0924650759516
CDW , 84.669998 , 82.3817887781356 , 85.5178950656181 , 88.6540013531006 , 77.8158915736748 , 81.7076971283546 , 85.5995026830344 , 0.847897065618113 , -2.96230087164541 , 1.00141382502231 , -3.49864289786024
CERN , 61.130001 , 55.9456566594588 , 59.0697037043349 , 62.1937507492111 , 54.9398624853053 , 58.8167029134689 , 62.6935433416324 , -2.06029729566507 , -2.31329808653113 , -3.3703537738615 , -3.7842271367395
CHKP , 113.580002 , 109.445581019747 , 113.272833272801 , 117.100085525855 , 106.850881865756 , 111.600377007885 , 116.349872150014 , -0.307168727198984 , -1.97962499211485 , -0.270442614712214 , -1.74293445787653
COMM , 30.6 , 26.5425292245609 , 30.0368880938256 , 33.5312469630903 , 25.0740296003134 , 29.4104149172682 , 33.746800234223 , -0.563111906174406 , -1.18958508273183 , -1.84023498749806 , -3.88753295010402
CSCO , 42.57 , 40.0176618997764 , 41.9382338483536 , 43.8588057969309 , 39.7880941279468 , 42.1714612374957 , 44.5548283470445 , -0.631766151646374 , -0.398538762504344 , -1.48406425098984 , -0.936196294348941
CTSH , 81.559998 , 78.207771117974 , 81.5588803469232 , 84.9099895758725 , 75.2453524577652 , 79.403969646098 , 83.5625868344308 , -0.00111765307676137 , -2.15602835390203 , -0.00137034465935295 , -2.64348750217236
CYBR , 63.93 , 58.623753534286 , 65.9238361146537 , 73.2239186950214 , 51.3406894131431 , 60.3998536542577 , 69.4590178953723 , 1.9938361146537 , -3.53014634574229 , 3.11878009487517 , -5.52189323594915
DBX , 30.030001 , 24.3874280046108 , 30.8340610560518 , 37.2806941074928 , 18.525838490631 , 26.5258997190151 , 34.5259609473992 , 0.804060056051817 , -3.50410128098492 , 2.67752257501362 , -11.6686685457817
EA , 133.809998 , 134.09287531559 , 138.821507998893 , 143.550140682195 , 118.078280957044 , 123.946359796199 , 129.814438635353 , 5.01150999889259 , -9.86363820380123 , 3.74524331051301 , -7.37137609388592
FB , 174.889999 , 190.530372819819 , 199.222705322663 , 207.915037825507 , 160.345363553157 , 171.13226451143 , 181.919165469704 , 24.3327063226629 , -3.75773448856972 , 13.9131491004599 , -2.14862742870147
